Mouse_ID,Neuron_ID,Model,R²_train,R²_test
Mouse509,Neuron_1,motion,0.007892844982260816,0.021266237554336098
Mouse509,Neuron_1,BF,0.011884602136996247,0.005414270412135824
Mouse509,Neuron_1,BFmotion,0.019018155580638595,0.027275837594694874
Mouse509,Neuron_1,HR,0.030134947082558882,0.0460160105610361
Mouse509,Neuron_1,HRmotion,0.03268368436954068,0.030848449018870516
Mouse509,Neuron_1,all,0.0396174413380713,0.048653887948505226
Mouse509,Neuron_2,motion,-0.002255326251063794,-0.004619278929933968
Mouse509,Neuron_2,BF,-0.0022464178974760164,-0.003448216484381872
Mouse509,Neuron_2,BFmotion,-0.002706693747874378,-0.0038206118745194306
Mouse509,Neuron_2,HR,-0.0008156841456933517,-0.010045299712562406
Mouse509,Neuron_2,HRmotion,-0.0020658438870898134,-0.011045688526569286
Mouse509,Neuron_2,all,-0.002162763859682304,-0.010117195760733999
Mouse509,Neuron_3,motion,0.007757048780930908,-0.029592266434467884
Mouse509,Neuron_3,BF,-0.00037367438194499945,0.004627946365284519
Mouse509,Neuron_3,BFmotion,0.014330119729091439,-0.02517433485444953
Mouse509,Neuron_3,HR,0.010103481421011695,-0.030498569081991
Mouse509,Neuron_3,HRmotion,0.011104401668449504,-0.03061084091174293
Mouse509,Neuron_3,all,0.022191056254691043,-0.02161851054975017
Mouse509,Neuron_4,motion,0.026501667243606385,-0.10950009776517722
Mouse509,Neuron_4,BF,-0.002410247897413553,-0.03934149565306244
Mouse509,Neuron_4,BFmotion,0.0304329749877305,-0.10660563619667274
Mouse509,Neuron_4,HR,0.006815645902596867,-0.01792283015364826
Mouse509,Neuron_4,HRmotion,0.042884269285277665,-0.13052061788069325
Mouse509,Neuron_4,all,0.042436196987430175,-0.1281502895108919
Mouse509,Neuron_5,motion,0.1117343074590261,0.04567909339467202
Mouse509,Neuron_5,BF,0.0045869010760726915,-0.10819841113128925
Mouse509,Neuron_5,BFmotion,0.13030296953843018,0.09356576460857491
Mouse509,Neuron_5,HR,0.14928082579056887,-0.011122531881206488
Mouse509,Neuron_5,HRmotion,0.16312543127226936,0.00506313970186778
Mouse509,Neuron_5,all,0.20938980950945646,0.0738490409556477
Mouse509,Neuron_6,motion,0.03741447560075868,0.01280795593981976
Mouse509,Neuron_6,BF,0.005243553675936407,-0.05041443033587978
Mouse509,Neuron_6,BFmotion,0.046606860500833736,0.0073165310316305465
Mouse509,Neuron_6,HR,0.029386818308386742,-0.03177796599156091
Mouse509,Neuron_6,HRmotion,0.04380683975195767,0.018428671390159024
Mouse509,Neuron_6,all,0.057796778429531924,0.03705146552713867
Mouse509,Neuron_7,motion,0.018105346835187563,0.027035093427992152
Mouse509,Neuron_7,BF,0.019894361607388868,0.0727048310882612
Mouse509,Neuron_7,BFmotion,0.02594140578121893,0.0710046609055649
Mouse509,Neuron_7,HR,0.010546775242550854,0.01279230666685105
Mouse509,Neuron_7,HRmotion,0.019762583253529663,0.023378119373601458
Mouse509,Neuron_7,all,0.027169575668601675,0.059653277944756056
Mouse509,Neuron_8,motion,-0.003978641206087019,-0.0005742177143339688
